DISTR.1,GRADE,SLFHLTH,SLFWGHT,WORKHARD,GOODQUAL,PHYSFIT,PROUD,LIKESLF,ACCEPTED,FEELLOVD,DIET,DISTR.2,race
0.42,10,3,3,2,2,4,2,2,2,2,0,1.23,other
0.37,11,2,4,2,1,4,1,1,2,1,0,0.15,black
0.47,11,3,3,2,3,3,3,3,2,2,0,0.82,other
1.42,11,1,4,2,2,2,2,2,3,3,0,0.81,black
0.95,10,3,4,2,3,4,3,4,4,4,0,1.52,other
0.63,9,2,3,1,3,2,2,2,2,2,0,0.27,other
0.68,8,1,5,2,2,3,2,4,4,2,0,0.86,other
1,11,4,4,1,2,2,2,2,2,2,1,0.72,other
0.53,9,2,4,1,2,2,2,4,2,2,1,0.76,other
0.53,11,1,3,2,2,2,1,1,2,2,0,1.13,other
0.32,11,3,3,2,2,3,1,2,2,1,0,0.52,black
1.61,7,1,3,2,2,2,2,4,2,2,0,1.48,black
1,8,3,4,2,1,1,1,1,1,1,0,0.62,non-black hispanic
0.21,10,4,4,4,2,3,2,2,2,1,0,0.06,black
1,8,2,4,3,2,3,3,2,4,2,1,1.23,black
0.53,7,3,4,3,2,3,3,3,3,2,0,0.69,other
0.95,10,3,4,4,3,4,3,4,4,4,1,0.6,non-black hispanic
0.74,8,2,4,1,2,2,2,2,2,2,0,0.37,non-black hispanic
0.16,8,3,4,2,2,3,2,2,3,2,0,0.52,other
0.05,7,1,3,1,2,2,1,1,1,1,0,0.13,other
0.47,11,2,4,2,1,2,1,2,3,2,0,0.47,other
0.95,7,4,3,2,2,2,2,3,2,2,1,0.31,other
0.42,11,2,3,2,1,1,1,2,1,1,0,0.22,other
0.63,11,3,3,3,3,3,3,1,2,2,0,0.74,other
0.42,10,1,4,2,2,3,2,3,2,2,0,0.95,other
1.05,11,2,4,2,1,2,1,2,2,1,0,0.86,other
0.89,10,3,4,3,2,4,3,4,4,3,1,0.62,other
1.74,11,3,4,2,2,2,2,4,3,3,0,0.83,other
0.84,10,1,3,2,2,2,2,1,2,2,0,0.4,black
0.32,10,2,3,2,2,2,2,3,3,2,0,1.17,other
0.53,10,2,4,4,3,3,2,3,2,2,0,0.78,other
1.16,9,2,5,2,3,4,2,4,4,2,0,1.13,other
1.28,10,2,3,3,3,5,3,4,4,2,0,0.79,black
0.26,9,1,3,3,3,2,3,3,2,3,0,1.14,non-black hispanic
0.26,7,1,4,2,1,2,1,2,1,1,0,0.02,non-black hispanic
0.42,10,3,4,2,2,3,2,3,5,2,1,0,other
1.53,8,4,4,3,3,4,2,5,2,1,0,0.68,other
0.26,7,2,3,2,1,1,1,2,1,1,0,0.1,other
0.21,7,3,4,2,1,3,2,2,1,1,0,0.62,other
0.26,8,3,3,2,2,2,2,2,3,1,0,0.47,other
1.26,9,4,5,3,2,3,1,2,2,2,0,0.2,black
0.47,8,1,3,2,2,1,2,2,2,2,0,0.84,black
0.21,11,2,3,2,2,1,1,1,1,1,0,0.24,black
0.47,7,1,3,1,1,1,1,1,2,2,0,1.72,other
0.42,11,1,3,2,2,2,2,2,2,2,0,0.11,other
0.05,10,1,3,2,1,1,1,1,1,1,0,0.04,other
0.47,9,4,3,3,3,3,5,4,4,4,0,2.29,other
0.79,10,2,2,3,3,2,2,3,1,2,0,1.13,non-black hispanic
0.26,8,1,2,3,2,1,1,1,1,1,0,0.36,black
0.47,7,1,1,2,2,2,2,1,1,2,0,0.44,other
0.26,10,2,4,2,2,2,1,2,1,1,1,0.17,non-black hispanic
0.84,7,3,4,2,2,1,2,3,2,1,0,0.23,other
1.11,10,2,4,3,2,2,2,2,3,2,0,1.24,other
0.79,11,2,4,1,1,2,2,2,2,2,0,0.96,other
0.68,11,3,3,2,2,5,3,3,3,2,0,0.99,black
0.11,11,2,4,2,1,1,1,1,1,1,0,0.34,non-black hispanic
0.84,11,2,3,2,2,2,2,3,2,1,0,0.71,non-black hispanic
0.21,11,2,2,2,2,2,2,1,2,2,0,0.4,black
0.63,10,3,1,2,3,2,3,3,3,3,0,0.73,black
0.53,7,3,3,2,2,3,2,1,4,2,0,0.7,other
0.21,8,2,3,2,2,4,2,2,2,1,0,0.32,other
0.68,11,2,4,2,2,2,2,3,4,3,1,0.46,other
0.89,8,3,4,2,2,4,3,4,3,2,1,1.13,other
0.58,11,2,3,2,2,2,2,3,2,2,1,0.78,other
0.53,9,2,5,2,2,2,2,4,3,2,1,0.86,other
0.95,10,5,4,2,3,4,4,4,4,3,1,1.02,other
0,8,1,3,1,2,1,1,1,1,1,0,0.15,other
0.53,7,2,4,4,2,2,2,4,3,2,1,0.48,other
0.47,7,1,4,2,2,2,1,2,2,2,1,0.55,other
2.37,9,4,3,5,3,4,3,4,4,2,0,0.75,non-black hispanic
0.53,9,3,3,1,3,3,4,3,2,2,0,0.52,other
1.32,7,4,2,4,2,1,2,2,2,2,0,0.69,other
1.16,7,1,3,3,2,1,2,2,2,3,1,1.21,non-black hispanic
1.21,8,1,3,2,3,2,2,2,4,2,0,0.75,other
0.47,9,3,3,2,2,2,1,2,1,1,1,0.63,black
0.16,10,2,3,2,1,2,1,1,1,1,0,0.35,black
1.16,10,3,3,2,2,3,2,3,2,3,0,1.03,non-black hispanic
1.42,11,3,3,2,2,2,1,1,2,3,1,1.2,non-black hispanic
1.68,10,1,3,2,1,3,2,4,2,4,0,1.09,black
1.95,10,3,4,1,1,4,2,3,2,2,1,1.41,black
1.16,9,2,3,2,1,4,1,2,2,2,0,1.49,non-black hispanic
0.16,8,2,3,2,2,3,2,2,2,1,0,0.53,other
0.05,10,1,2,2,3,1,2,2,2,2,0,0.33,other
0.11,11,1,4,4,2,1,2,2,1,1,1,1.6,non-black hispanic
0.47,10,3,5,3,3,3,3,4,4,3,1,0.41,other
0.16,11,1,3,2,2,2,1,2,2,2,0,0.2,other
0.42,7,2,2,1,2,1,1,2,1,1,0,0.19,other
0.84,10,2,4,2,1,2,1,2,2,1,0,1.01,other
1.42,10,2,4,2,1,2,2,3,2,2,1,0.87,other
0.63,10,2,3,1,2,2,1,2,2,2,0,0.38,non-black hispanic
1.21,10,3,4,2,2,3,2,2,3,1,0,0.54,non-black hispanic
0.74,10,3,4,2,4,4,4,5,5,5,1,1.3,non-black hispanic
0.21,10,2,3,1,2,3,2,2,2,2,0,0.08,other
1.16,7,2,4,1,2,4,2,4,4,3,1,1.25,black
1,11,4,3,3,2,3,2,3,2,2,1,1.19,other
1.47,9,2,3,2,1,2,2,3,2,2,0,0.61,other
0.16,7,2,2,2,2,1,2,3,2,1,0,0.2,other
1.05,8,3,3,2,2,2,2,1,2,2,0,0.66,other
0.32,9,2,5,2,2,4,2,2,3,2,0,0.29,other
0.05,11,2,5,1,1,2,1,2,1,1,1,0.29,other
0,11,1,3,2,2,1,1,1,1,1,0,0.1,non-black hispanic
0.21,10,4,4,1,1,3,1,2,1,1,0,0.81,black
1,8,3,3,2,2,2,2,3,3,2,0,0.59,black
0.16,11,1,3,1,2,2,2,2,3,2,0,0.32,other
0.42,9,1,3,2,2,1,2,2,2,2,0,0.49,other
0.42,10,3,4,2,3,3,3,5,3,4,1,0.84,other
1.21,8,3,2,2,2,3,1,2,2,1,0,0.84,non-black hispanic
0.74,11,2,3,2,1,2,1,1,1,1,0,0.42,black
0.95,10,3,4,2,4,5,4,4,5,2,0,0.98,other
0.37,11,1,3,3,2,2,2,2,2,2,0,0.38,black
1.42,7,2,3,3,2,2,1,2,1,1,0,0.05,other
0.26,7,1,3,2,1,2,1,2,1,1,0,0.18,other
0.79,11,2,4,2,2,3,2,2,4,3,0,0.28,other
0.42,10,1,3,3,2,2,2,2,2,1,0,0.48,black
1.42,9,3,5,2,3,4,3,3,3,3,1,0.47,other
0.63,9,2,3,3,2,1,2,2,1,1,0,0.92,other
1,7,2,3,2,2,4,2,3,1,1,0,0.39,black
0.26,9,2,3,2,2,4,2,2,2,2,1,0.39,non-black hispanic
1.42,9,2,3,2,1,2,1,1,2,1,0,0.4,other
0.89,8,1,3,3,3,4,2,3,4,2,0,0.9,other
0.74,11,2,3,1,2,2,1,1,2,2,0,0.86,black
0.32,8,3,4,2,2,3,2,4,2,2,1,0.16,other
0.42,7,1,3,2,1,1,1,1,2,1,0,0.46,other
0.68,7,2,4,2,2,3,2,2,2,2,0,0.75,black
0.47,8,2,4,2,2,4,2,4,2,2,1,0.28,other
0.53,9,4,4,2,3,4,4,4,4,5,1,1.05,other
0.37,9,1,4,1,2,2,2,3,3,2,0,0.14,other
0.74,9,2,3,2,2,1,2,3,1,2,1,1.39,other
0.74,10,2,3,2,2,2,1,2,2,2,0,1.28,black
0.68,8,2,3,2,1,1,1,1,1,1,0,0.48,other
0.21,10,3,4,2,2,2,2,2,2,2,0,0.53,black
0.79,9,3,4,2,2,4,2,3,4,2,0,0.66,other
0.32,7,3,3,3,2,3,2,2,3,2,0,0.41,black
0.11,11,1,3,1,1,1,1,1,1,1,0,0.04,other
0.53,8,3,4,2,2,2,2,3,2,1,0,0.96,other
0.84,7,3,2,2,4,3,4,4,3,4,0,2.06,other
1.21,8,1,4,1,1,2,1,1,1,2,0,0.96,black
0.26,7,3,3,2,2,2,3,3,4,3,0,0.11,other
0.74,9,2,4,3,2,3,2,1,3,1,0,1.22,non-black hispanic
0.32,11,2,3,2,2,2,4,4,2,3,0,0.7,other
0.16,11,2,4,2,1,1,1,3,1,1,1,0.22,black
0.05,9,3,3,1,1,2,1,1,2,2,0,0.3,non-black hispanic
0.53,11,1,4,4,2,2,2,3,4,3,1,1.05,other
0.79,8,4,5,3,2,4,2,1,4,4,0,0.79,other
0.37,8,4,3,2,1,3,2,3,2,1,0,0.52,non-black hispanic
1.68,9,4,4,2,3,4,4,4,5,4,0,1.03,other
0.74,10,2,3,1,2,1,2,2,1,2,0,0.08,non-black hispanic
0.47,11,2,3,1,2,3,2,2,1,2,0,0.26,other
0.63,9,3,5,1,4,3,3,4,3,3,0,0.94,other
0.42,7,2,3,4,2,1,1,1,2,2,0,0.33,other
0.05,10,1,4,2,1,2,1,1,2,1,0,0.31,other
0.16,8,4,4,1,1,3,1,2,1,1,0,0.37,other
1.21,7,3,4,5,2,4,2,3,2,2,0,0.72,other
0.16,9,2,4,2,1,1,1,2,1,1,0,0.33,other
0.79,9,2,4,3,1,2,2,3,2,2,0,0.95,black
0.84,10,1,1,4,2,2,2,1,1,1,0,0.52,other
0.47,8,3,4,2,1,2,2,1,1,2,1,0.23,non-black hispanic
0.26,11,3,3,3,2,2,2,1,2,3,0,0.26,other
0.74,10,3,3,3,2,3,2,3,3,2,0,0.59,other
0.74,10,1,3,2,1,3,1,1,2,1,0,0.68,black
1.32,11,2,3,5,1,3,2,2,2,2,0,1.33,black
0.63,7,2,3,1,2,2,2,1,3,1,0,0.65,other
0.84,8,1,4,2,1,1,1,1,1,1,0,1.49,black
0.53,7,2,4,2,2,3,1,3,2,1,0,0.32,other
0.89,10,2,3,2,1,1,2,1,4,3,0,0.82,non-black hispanic
0.79,11,3,3,2,2,2,2,2,2,1,0,0.19,other
0.16,7,1,2,1,1,2,1,1,2,1,0,0.31,non-black hispanic
1,7,2,3,2,2,3,2,1,2,1,0,1.72,non-black hispanic
0.37,9,2,3,1,2,2,3,3,2,2,0,0.1,black
0,11,2,5,1,1,2,1,1,1,1,1,0.03,non-black hispanic
1.26,9,2,3,2,2,2,2,2,2,2,0,0.8,other
0,8,1,3,2,1,1,1,1,1,1,0,0.09,other
0.37,7,3,5,2,2,4,2,4,3,2,0,0.35,other
0.58,10,1,3,3,2,3,2,1,2,2,0,1.05,non-black hispanic
0.05,11,3,2,1,2,3,1,2,1,2,0,0.17,other
1.21,10,4,2,1,2,1,2,2,2,2,0,0.47,black
0.37,8,3,3,3,1,2,1,1,2,1,0,0.16,other
0.16,8,2,2,2,1,1,1,2,1,1,0,0.08,other
0.32,10,1,3,2,1,2,1,1,2,1,0,0.16,black
1,7,2,2,2,2,2,4,3,3,3,0,1.01,other
0.21,8,2,3,1,2,2,2,2,2,2,1,0.34,other
1.37,9,1,5,2,1,3,2,2,3,1,1,1.7,other
0.74,10,4,4,2,2,4,3,3,3,5,1,0.76,other
0.26,11,2,4,1,1,2,1,1,4,2,0,1.33,non-black hispanic
0.68,9,1,2,2,1,1,1,1,1,1,0,0.49,black
0.42,11,1,3,2,2,1,2,3,2,2,0,0.29,black
0.95,10,3,2,1,2,2,2,1,2,2,0,0.64,black
0.68,10,3,3,1,2,2,1,1,2,2,0,0.39,black
0.11,8,1,4,1,2,2,2,2,1,1,0,0.25,other
0,9,1,2,2,2,1,2,1,1,1,0,0.04,other
1.16,11,3,3,2,1,3,1,2,1,2,0,0.85,black
0.79,8,3,3,1,2,2,1,2,2,2,0,0.53,black
0.11,11,2,3,2,2,2,1,2,1,1,0,0.2,other
1.63,7,3,4,2,3,4,3,4,5,4,0,1.09,black
0.63,9,2,4,2,1,2,2,4,4,2,0,0.86,black
0.63,11,2,4,3,2,3,2,2,2,2,0,1.12,black
0.47,7,3,3,2,2,2,2,4,2,1,1,0.31,other
0.95,11,2,2,2,2,2,2,2,2,1,1,0.02,other
0.53,10,3,3,1,1,2,1,2,1,1,0,1.15,other
0.42,9,3,3,2,2,2,1,1,2,2,0,0.49,black
0.63,10,2,3,2,2,2,2,2,2,2,0,0.4,other
0.53,9,2,3,2,2,3,2,3,2,2,0,0.01,black
1.16,7,1,3,2,2,1,1,2,1,1,0,0.86,black
1.58,10,3,3,1,2,2,2,2,3,2,0,1.16,other
0.16,9,2,3,2,2,2,2,2,4,2,0,0.38,other
0.68,11,2,3,1,1,3,1,2,2,2,0,0.27,other
0.11,9,1,3,2,1,1,1,1,1,1,0,0.29,black
0.16,10,3,3,3,2,1,1,2,1,1,0,0.55,other
0.58,8,4,4,3,2,3,2,2,2,1,0,0.39,non-black hispanic
0.26,9,2,4,2,1,2,2,4,1,1,1,0.15,other
1.68,7,3,3,2,1,2,1,3,1,1,0,1.66,other
0.89,8,4,4,3,2,3,2,4,4,2,0,0.63,black
1.58,9,2,3,1,2,1,2,1,1,1,0,0.64,other
0.74,7,4,4,2,2,4,2,2,4,2,0,0.71,other
0.79,11,3,5,2,1,4,2,2,1,2,0,1.97,black
0.95,10,2,4,1,2,2,2,3,2,2,0,1.37,black
0.16,9,2,3,2,1,2,1,1,2,2,0,0.43,other
1.32,10,2,4,2,2,3,3,2,4,3,1,0.66,non-black hispanic
2.37,11,2,3,3,2,4,3,3,3,2,1,1.03,non-black hispanic
0.74,10,3,3,2,4,3,4,3,4,3,0,1.22,other
0.42,9,2,3,3,2,1,2,2,2,2,0,0.63,other
0.58,11,2,4,3,2,2,3,3,3,3,0,0.46,non-black hispanic
0.05,7,2,4,2,2,2,2,2,1,1,0,0,other
0.37,7,2,4,1,1,2,1,2,1,1,1,0.18,black
0.42,11,2,3,4,1,2,2,3,2,2,1,0.58,other
0.53,9,1,2,2,1,1,1,1,1,1,0,0.3,other
0.89,8,3,5,2,1,3,1,2,3,1,1,0.56,other
0.47,7,2,3,2,1,2,1,2,1,1,0,0.2,black
0.26,11,2,3,2,2,2,1,1,1,2,0,0.25,other
0.79,11,3,4,1,2,3,2,2,4,2,0,1.13,other
0.21,10,2,3,2,2,2,2,2,3,2,1,0.27,other
0.68,10,1,2,1,1,2,1,2,1,2,0,0.33,black
0.95,9,3,4,2,1,3,2,2,3,3,1,1.1,black
0.26,10,1,3,3,2,1,1,3,2,2,0,0.06,other
0.79,10,4,4,1,3,3,4,4,4,3,1,1.28,other
1.32,9,4,3,4,3,3,2,4,2,2,0,2.09,non-black hispanic
1.42,10,3,4,2,1,2,1,3,2,2,1,0.83,other
1.63,8,2,4,2,2,3,3,4,4,3,1,1.85,black
0.21,9,4,3,2,2,2,2,2,2,2,1,0.23,other
0.68,10,4,4,1,1,4,2,3,2,2,0,1.26,other
0.37,11,2,3,2,2,1,1,2,2,1,0,0.86,other
1.11,10,2,4,4,2,2,2,2,3,2,0,1.25,other
0.16,11,2,3,3,1,1,1,1,2,2,0,0.2,black
0.37,11,4,4,2,1,3,1,2,2,1,0,0.24,other
0.11,10,1,4,3,2,2,2,3,2,1,1,0.25,other
0.21,7,2,3,2,2,2,2,3,2,1,0,0.24,other
0.68,9,3,3,1,2,3,2,2,2,2,0,1.54,other
0.68,11,2,3,2,1,2,1,1,1,1,0,0.75,other
0.05,11,2,4,2,1,2,1,1,2,1,1,0.05,other
0.16,7,2,4,2,2,3,3,2,2,1,0,0.28,other
0.21,10,2,3,2,2,2,1,1,1,1,0,0.34,non-black hispanic
0.32,8,2,4,4,1,3,1,2,1,1,0,0.4,black
0.79,9,2,4,2,1,1,1,1,1,1,1,0.88,other
0.58,10,3,4,2,2,3,3,3,4,5,1,2.17,other
0.47,11,2,4,2,2,2,1,2,2,2,1,0.58,other
0.58,10,1,3,1,1,1,1,2,2,1,0,0.77,other
0.89,8,1,4,2,1,1,1,1,1,2,0,0.32,other
0.79,7,1,2,2,1,2,1,1,1,1,0,0.56,black
1.05,9,3,4,1,2,2,1,3,1,2,1,0.93,other
0.53,7,2,3,2,2,2,1,1,2,1,0,0.57,non-black hispanic
0.21,9,1,3,4,2,2,2,1,2,1,0,0.3,black
0.05,7,1,2,2,1,1,1,1,1,1,0,0.06,other
1.64,11,3,4,1,3,4,2,3,4,3,1,0.34,other
0.58,11,2,4,1,1,2,1,1,2,1,0,0.89,non-black hispanic
1.58,8,4,3,3,2,2,1,2,2,2,0,0.53,black
0.26,8,3,4,2,2,1,2,2,1,2,0,1,black
0.42,7,3,4,1,1,4,1,2,2,1,0,0.62,other
1.26,10,3,3,5,1,4,2,2,3,3,0,0.85,other
0.32,8,1,5,1,1,2,1,3,2,1,0,0.64,black
0.47,10,2,4,2,2,2,1,1,2,2,1,0,black
0.37,9,2,3,1,2,2,2,4,3,2,0,0.22,other
0.68,7,2,2,2,1,1,2,1,1,2,0,1.38,black
0.63,7,2,3,2,1,2,1,1,1,1,1,0.62,black
0.89,10,1,4,4,3,2,2,4,2,2,0,0.31,other
0.16,10,1,2,2,1,1,1,1,1,1,0,0.63,black
0.63,10,3,4,4,1,1,1,1,4,2,1,0.33,other
0.84,11,2,4,2,2,2,2,2,4,3,0,1.35,non-black hispanic
0.63,7,4,3,1,2,2,2,2,2,3,0,0.4,non-black hispanic
1,7,3,4,3,2,3,3,3,4,3,0,1.48,other
1.11,9,2,3,2,2,3,2,4,2,3,0,0.12,non-black hispanic
0.47,9,1,4,2,2,2,1,3,2,2,0,0.12,other
0.63,10,3,4,2,1,3,1,2,3,2,1,0.41,other
0.68,10,3,2,4,2,1,3,2,1,2,0,0.98,black
0.26,10,1,3,2,2,2,2,2,3,3,0,0.38,non-black hispanic
0.47,8,2,4,2,2,2,2,2,1,2,0,0.65,non-black hispanic
1.32,11,4,3,4,2,4,3,4,4,3,0,0.58,non-black hispanic
0.58,9,1,4,3,2,2,2,3,1,2,0,0.49,other
1.37,9,3,3,2,2,2,2,2,2,2,1,0.97,other
0.21,10,2,3,2,1,3,1,2,3,1,0,0.08,other
0.53,7,3,4,4,2,3,2,2,3,2,0,0.55,other
0.42,10,3,4,4,2,3,2,3,4,2,0,0.75,other
0.11,10,2,2,2,1,2,1,1,2,1,1,0.1,other
1.63,9,3,4,4,2,3,2,4,2,2,0,0.84,other
0.16,7,3,3,2,2,2,2,2,1,1,0,0.09,other
0.21,9,3,3,1,1,2,1,1,1,1,0,0.56,other
0.16,10,2,3,2,1,2,1,1,1,1,0,0.17,black
0.37,11,3,2,2,2,1,2,2,1,2,0,0.19,black
0.37,10,3,4,2,3,3,3,3,5,3,0,0.22,other
0.47,9,2,3,2,2,2,2,1,2,2,1,0.8,other
0.68,11,1,3,1,1,1,1,1,1,1,0,1.2,black
0.89,11,2,4,2,1,2,1,2,2,2,0,0.65,black
0.32,10,2,3,2,2,2,2,2,2,1,0,0.54,other
1.16,11,2,3,2,1,2,1,2,1,1,1,2.28,non-black hispanic
2.63,11,4,3,2,3,4,4,5,5,5,0,1.6,black
0.58,10,3,3,1,2,3,2,3,2,2,0,0.61,other
1.37,9,2,3,3,1,2,2,3,1,2,0,0.74,non-black hispanic
0.21,9,3,4,4,2,3,4,4,4,4,0,0.64,non-black hispanic
0.21,8,1,3,2,2,1,1,1,1,1,0,0.27,non-black hispanic
0.95,11,4,3,2,2,3,2,3,1,2,0,1.15,black
0.74,11,1,3,2,2,2,1,2,2,1,0,0.21,other
0.47,7,2,4,3,1,2,1,2,2,1,1,0.46,other
0.11,11,2,4,2,2,5,2,1,3,1,0,0.04,other
1.53,11,1,5,1,1,2,1,2,4,2,1,1.86,other
0.42,9,1,3,2,2,3,2,2,2,2,0,0.5,other
0,8,1,3,1,1,1,1,1,1,1,0,0.09,black
0.58,11,2,3,2,1,2,1,1,1,1,1,0.25,black
1.68,7,1,3,3,2,2,2,3,1,2,0,1.63,other
0.21,10,1,3,4,1,1,1,1,1,1,0,0.56,black
0.63,10,2,3,1,1,1,1,2,2,2,0,0.14,other
0.68,7,1,4,1,1,1,1,1,1,1,0,0.29,other
0.26,7,1,3,1,2,3,1,4,3,1,0,0.19,other
0.37,7,2,4,2,1,2,2,1,2,1,0,0.19,black
0.47,9,2,4,3,2,3,2,2,2,2,0,0.84,other
0.47,9,2,3,4,2,2,1,1,2,1,0,0.39,black
0.26,9,4,4,2,2,3,2,3,2,2,1,0.52,other
0.53,9,3,2,2,2,2,2,3,2,2,0,0.32,non-black hispanic
0.58,10,3,3,2,2,2,3,2,2,3,0,0.79,other
0.74,8,2,3,3,2,3,2,1,2,2,0,2.1,black
0.11,7,1,3,2,1,1,1,1,1,1,0,0.06,other
1,10,3,4,4,2,4,3,3,4,3,0,1.24,other
0.26,9,2,3,2,2,2,2,3,2,1,0,0.94,non-black hispanic
0.32,9,3,4,1,1,1,1,1,3,1,0,0.47,other
0.16,9,2,4,3,2,2,1,2,2,1,0,0.98,other
0.42,7,4,5,2,2,3,3,2,1,2,0,1.32,other
1.05,9,2,4,2,2,1,2,1,3,2,0,0.33,black
0.21,9,1,3,2,2,2,1,1,1,2,0,0.56,other
0.58,10,3,4,3,3,4,3,2,4,2,0,1.53,other
0.63,7,3,3,1,3,4,2,3,3,2,0,0.54,other
0.63,10,1,3,1,2,2,2,2,3,3,0,1.41,other
0.95,9,3,4,2,2,2,2,2,2,1,1,0.31,other
0.79,7,2,3,2,2,3,2,2,2,1,0,0.58,other
0.68,10,2,4,3,2,3,1,3,2,1,0,0.5,other
0.05,11,3,2,2,1,1,1,1,1,1,0,0.15,other
0.47,11,2,3,2,1,1,1,1,1,1,0,0.14,other
0.11,7,2,3,2,2,1,1,2,2,1,0,0.29,other
0.42,7,2,4,2,2,2,2,2,3,2,0,0.54,other
0.11,11,2,4,1,2,2,2,2,3,1,1,0.08,other
0.79,10,3,4,1,2,2,2,2,1,1,0,0.47,non-black hispanic
0.21,8,1,3,2,2,2,2,2,2,1,0,0.52,other
0.63,7,2,4,4,2,3,2,3,2,2,1,1.2,other
1.05,7,3,4,2,3,4,3,4,1,2,0,1.21,other
0.16,11,2,3,2,2,2,1,2,2,1,0,0.34,other
0.05,10,2,2,1,1,1,1,1,1,1,0,0.26,other
0.42,9,4,4,4,2,3,2,2,2,2,0,0.46,black
0.63,8,3,4,3,2,4,3,4,2,2,0,0.2,other
1,9,2,3,3,2,2,2,2,3,2,0,1.25,other
0.58,8,1,3,1,3,2,2,1,3,1,0,0.73,other
0.05,9,1,4,3,1,2,1,1,1,1,1,0.07,other
0.32,7,2,4,5,2,2,1,2,2,1,0,0.42,other
0.53,8,2,4,2,3,2,4,4,4,4,0,0.65,black
1,7,2,3,2,2,2,2,4,2,2,1,0.73,other
0.11,11,1,3,1,1,2,1,1,4,1,0,0.39,other
0,9,1,3,2,1,2,1,1,1,1,0,0.11,other
0.42,9,2,3,1,2,1,2,1,3,2,0,0.78,other
0.42,10,3,4,1,4,3,4,3,4,4,1,0.95,other
0.63,7,3,3,3,1,2,1,1,2,1,0,0.44,black
0.05,10,1,3,2,1,2,1,2,2,1,1,0.17,other
1,9,2,3,2,2,2,4,4,4,3,0,0.36,other
1.37,8,2,3,3,2,3,2,3,2,2,0,0.77,other
0.21,10,2,4,2,1,2,2,2,3,2,0,0.02,other
0.21,10,2,3,2,1,2,1,2,2,1,1,0.23,black
0.16,8,2,3,3,1,1,1,2,2,1,0,0.25,other
0.32,10,3,4,2,3,3,3,3,3,2,0,0.24,other
0.26,11,1,3,1,1,1,1,1,1,1,0,0.26,other
1.26,9,1,4,3,2,2,1,1,1,1,0,0.49,black
0,7,1,3,2,1,2,1,1,1,1,0,0.09,other
0.84,11,4,4,2,3,4,3,4,4,4,0,0.95,non-black hispanic
0.63,8,1,3,2,1,1,2,2,1,1,0,0.95,other
0.58,9,1,3,1,1,1,1,1,1,1,1,0.85,black
0.68,11,3,3,2,2,2,2,2,2,2,0,0.1,non-black hispanic
0.89,10,3,4,2,2,3,2,3,4,2,0,0.94,other
2.26,9,4,3,3,2,3,2,4,1,2,0,1.37,other
0.26,8,2,3,2,2,2,1,1,1,1,0,0.63,black
0.89,9,2,3,3,2,3,3,3,4,3,0,0.95,other
0.11,11,1,2,2,1,1,1,1,1,1,0,0.24,black
1.11,7,3,4,2,2,3,2,3,5,4,0,1.56,non-black hispanic
0.16,11,2,1,2,2,2,1,1,1,1,1,0.19,other
0.79,8,3,3,2,1,1,1,1,1,1,0,0.6,black
0.37,9,3,3,2,3,3,2,4,3,3,0,0.7,other
1.47,10,3,3,1,1,2,2,4,2,3,0,1.54,non-black hispanic
0.42,7,3,2,1,1,2,1,1,1,2,0,0.88,non-black hispanic
0.21,10,1,3,2,2,2,2,2,2,2,0,0.14,non-black hispanic
0.26,7,2,4,2,2,2,2,3,1,1,0,0.71,other
0.11,7,3,3,2,2,2,2,1,2,1,0,0.19,other
0.53,10,2,3,3,2,2,2,3,2,2,0,0.28,non-black hispanic
0.58,9,3,4,2,2,2,2,2,2,2,0,1.73,other
0.95,9,1,3,1,2,1,2,2,2,2,0,0.75,other
0.47,8,3,3,5,2,2,2,3,2,1,0,0.72,black
0.68,10,1,3,2,2,2,1,2,2,1,0,1.33,other
0.74,8,3,3,2,2,3,3,2,4,4,0,1,other
0.74,11,2,3,2,2,2,1,2,4,3,1,0.56,other
0.63,9,2,4,2,2,2,2,2,1,1,0,0.46,other
0.79,10,1,5,2,2,3,2,4,3,3,1,0.88,other
1.16,11,4,3,2,2,4,2,2,3,2,0,1.15,other
0.32,9,4,4,2,2,2,2,2,3,1,0,0.28,other
0.47,7,1,3,2,2,2,2,1,1,2,0,0.15,black
0.63,10,1,4,2,2,3,2,1,2,2,0,0.52,black
0.37,10,2,3,2,2,3,2,4,3,2,0,0.17,other
0.37,9,2,3,2,2,4,3,3,2,2,0,0.36,other
0.26,8,2,1,2,1,1,1,2,1,1,0,0.24,other
1.42,10,4,4,2,3,3,4,3,4,4,1,1.23,other
0.84,10,2,3,1,1,2,1,2,2,2,0,1,other
0.16,7,2,3,2,1,1,1,1,1,1,0,0.15,non-black hispanic
0.68,7,2,3,2,1,2,1,2,2,2,0,0.4,other
0.37,10,5,4,2,3,4,3,3,3,2,0,0.53,black
0.47,9,3,3,2,2,2,2,2,1,2,0,0.76,other
0.63,9,3,3,2,2,4,2,2,2,2,0,0.24,other
0.74,10,3,5,1,2,3,1,2,3,2,1,0.58,other
0.84,9,3,3,1,2,3,2,3,3,2,0,0.83,black
0.32,7,2,3,2,2,1,2,1,1,1,0,0.73,black
0.79,9,3,4,2,2,3,2,2,3,2,0,0.42,other
1.16,8,1,3,1,1,1,1,1,1,1,0,1,black
0.84,11,4,4,3,2,3,2,2,2,2,1,0.92,other
0.26,7,1,2,2,1,1,1,1,1,1,0,0.28,other
